event_id,user_id,age_group,gender,device_type,os,content_type,content_genre,watch_duration_minutes,session_start_hour,ad_exposure_count,ad_skipped,subscription_type,network_type,buffering_events,rating_given,timestamp
68,19386,25-34,Female,Tablet,Linux,Kids,Comedy,14.65,8,1,1,Free,WiFi,2,1,11-05-2025 03:49
69,13131,25-34,Female,Tablet,Android,Movie,Action,15.52,9,2,1,Ad-supported,WiFi,1,3,14-05-2025 19:43
70,13441,45-54,Female,Tablet,macOS,Kids,Romance,32.56,2,1,0,Premium,5G,1,3,08-06-2025 01:34
71,2576,45-54,Female,Laptop,Linux,Movie,Drama,6.87,1,2,0,Free,WiFi,0,2,05-05-2025 05:19
72,11485,25-34,Male,Smart TV,Windows,Kids,Romance,0.5,3,0,0,Premium,WiFi,0,5,06-06-2025 20:27
73,9571,18-24,Female,Laptop,macOS,TV Show,Action,21.15,9,3,0,Ad-supported,WiFi,0,3,11-01-2025 18:27
74,15825,25-34,Other,Laptop,macOS,TV Show,Sports,9.19,18,7,0,Ad-supported,WiFi,0,1,19-06-2025 19:22
75,11364,25-34,Female,Mobile,Android,TV Show,Comedy,17.31,9,2,0,Free,4G,0,5,03-04-2025 20:03
76,5217,35-44,Male,Mobile,iOS,Live Sports,Action,1.76,12,1,1,Premium,Broadband,0,4,10-02-2025 16:01
77,3484,25-34,Male,Mobile,Android,Kids,Drama,5.6,14,3,0,Free,4G,0,4,04-04-2025 12:26
78,12223,Other,Male,Smart TV,Windows,News,Sports,7.81,6,2,0,Premium,Broadband,1,4,19-03-2025 01:41
79,7387,45-54,Male,Laptop,iOS,News,Sports,21.29,8,0,0,Free,5G,0,3,11-06-2025 01:01
80,6561,55+,Female,Mobile,Android,Kids,Comedy,7.17,20,2,0,Ad-supported,5G,2,2,25-02-2025 12:00
81,6793,18-24,Male,Tablet,Linux,Live Sports,Action,2.43,5,1,1,Free,5G,0,5,20-03-2025 23:42
82,12472,35-44,Female,Smart TV,iOS,Kids,Drama,71.03,21,3,0,Free,5G,4,3,30-03-2025 23:25
83,16444,55+,Male,Tablet,Linux,Kids,Thriller,109.84,8,1,0,Free,5G,0,2,14-03-2025 12:26
84,5989,45-54,Male,Laptop,macOS,Movie,Comedy,28.83,8,3,0,Ad-supported,5G,0,3,20-05-2025 15:23
85,14577,18-24,Male,Mobile,Linux,Movie,Drama,7.91,9,3,1,Free,4G,1,3,05-06-2025 03:00
86,2621,18-24,Male,Laptop,iOS,Live Sports,Comedy,36.05,3,4,0,Ad-supported,4G,1,5,15-02-2025 20:25
87,12285,45-54,Male,Laptop,macOS,News,Action,31.64,9,7,0,Ad-supported,4G,0,4,21-05-2025 13:11
88,17154,45-54,Female,Laptop,iOS,Kids,Sports,22.45,19,6,0,Ad-supported,5G,0,3,22-06-2025 21:52
89,12201,55+,Male,Mobile,Linux,TV Show,Action,0,21,1,0,Premium,WiFi,1,5,09-02-2025 15:05
90,17346,45-54,Male,Smart TV,iOS,Movie,Sports,17.25,0,0,0,Ad-supported,5G,1,3,14-02-2025 05:25
91,2057,25-34,Female,Laptop,macOS,Movie,Action,14.83,11,2,0,Free,4G,0,5,25-06-2025 00:30
92,1754,18-24,Female,Tablet,iOS,News,Drama,35.69,18,2,1,Ad-supported,WiFi,0,4,09-05-2025 07:03
93,13782,35-44,Female,Laptop,iOS,News,Thriller,28.67,7,1,0,Free,Broadband,1,4,23-02-2025 02:29
94,11191,18-24,Male,Tablet,Android,News,Comedy,38.19,8,3,1,Free,WiFi,0,4,30-05-2025 08:29
95,2400,35-44,Male,Smart TV,Windows,Movie,Comedy,9.3,18,0,0,Premium,WiFi,1,4,09-02-2025 01:05
96,19510,55+,Male,Mobile,Linux,News,Comedy,76.79,18,4,0,Ad-supported,WiFi,0,5,13-06-2025 00:59
97,2187,35-44,Female,Smart TV,Linux,Live Sports,Drama,26.86,20,2,0,Premium,Broadband,0,4,27-06-2025 09:51
98,8251,45-54,Male,Tablet,Android,Movie,Comedy,6.25,7,0,0,Premium,WiFi,0,3,17-05-2025 16:19
99,13745,18-24,Female,Laptop,macOS,Movie,Drama,54.45,6,1,0,Free,5G,0,2,13-01-2025 22:10
100,16165,45-54,Female,Smart TV,Windows,Live Sports,Comedy,39.9,8,1,0,Ad-supported,Broadband,0,4,09-01-2025 06:34
101,4432,18-24,Male,Mobile,Linux,Movie,Documentary,27.55,8,3,1,Free,5G,0,5,01-02-2025 19:12
102,3924,55+,Female,Laptop,macOS,Movie,Drama,18.53,21,0,0,Premium,Broadband,1,3,28-01-2025 15:28
103,18557,45-54,Male,Laptop,Linux,News,Comedy,9.31,21,1,0,Premium,5G,0,5,04-06-2025 17:16
104,10846,18-24,Female,Tablet,Android,Live Sports,Documentary,79.29,18,4,1,Ad-supported,WiFi,0,4,02-06-2025 05:23
105,2654,25-34,Male,Tablet,Windows,Kids,Romance,21.2,18,0,0,Free,4G,0,3,09-03-2025 06:27
106,15295,25-34,Female,Tablet,Android,Movie,Action,51.65,21,0,0,Free,Broadband,1,4,21-05-2025 21:45
107,5391,Other,Male,Tablet,Windows,TV Show,Action,54.43,9,1,1,Free,WiFi,0,5,23-03-2025 10:49
108,19707,35-44,Male,Tablet,macOS,Live Sports,Drama,82.24,19,0,0,Premium,5G,0,5,04-06-2025 17:08
109,4536,25-34,Male,Tablet,Android,News,Comedy,49.96,18,2,1,Free,Broadband,0,3,05-03-2025 22:32
110,14824,25-34,Male,Laptop,iOS,TV Show,Romance,0,6,3,0,Ad-supported,4G,1,3,08-05-2025 20:43
111,5177,18-24,Male,Laptop,Android,Live Sports,Documentary,10.32,6,0,0,Free,4G,0,5,03-03-2025 00:30
112,7024,35-44,Female,Laptop,iOS,TV Show,Documentary,9.7,22,2,1,Ad-supported,5G,0,1,19-05-2025 00:52
113,13375,45-54,Female,Smart TV,Android,Kids,Drama,55.09,9,4,0,Ad-supported,Broadband,0,3,17-02-2025 17:43
114,994,25-34,Female,Tablet,macOS,News,Thriller,29.98,6,1,1,Premium,Broadband,0,2,31-05-2025 20:43
115,7065,45-54,Male,Tablet,macOS,Live Sports,Romance,17.13,8,3,1,Ad-supported,WiFi,0,5,22-01-2025 08:41
116,15280,45-54,Male,Smart TV,Android,TV Show,Documentary,7.29,7,0,0,Premium,4G,1,1,05-03-2025 22:18
117,11821,35-44,Male,Mobile,Android,TV Show,Action,20.21,0,2,0,Ad-supported,WiFi,0,3,27-02-2025 15:05
118,6145,25-34,Male,Tablet,iOS,TV Show,Drama,2.28,20,1,0,Ad-supported,5G,0,4,13-06-2025 18:17
119,604,45-54,Female,Mobile,macOS,News,Sports,6.31,18,4,0,Ad-supported,WiFi,1,5,06-06-2025 10:17
120,14226,18-24,Male,Smart TV,iOS,Live Sports,Action,104.61,21,0,0,Free,Broadband,2,3,12-05-2025 03:01
121,1848,35-44,Male,Tablet,macOS,Live Sports,Comedy,104.71,5,1,0,Free,5G,0,3,05-03-2025 09:09
122,14917,25-34,Other,Laptop,Android,Movie,Documentary,5.74,18,3,0,Free,4G,0,4,29-05-2025 19:35
123,18967,45-54,Male,Smart TV,macOS,Kids,Sports,6.73,7,3,1,Free,4G,1,5,12-02-2025 05:55
124,2244,35-44,Male,Tablet,Linux,Live Sports,Documentary,0,20,3,0,Ad-supported,5G,0,1,15-02-2025 03:41
125,2271,45-54,Other,Laptop,iOS,News,Documentary,6.49,6,2,0,Ad-supported,Broadband,0,4,02-01-2025 23:15
126,9357,45-54,Male,Tablet,Linux,News,Thriller,32.74,9,1,0,Premium,Broadband,0,2,17-03-2025 01:03
127,1966,45-54,Male,Smart TV,iOS,News,Sports,65.08,6,1,0,Premium,5G,0,3,30-05-2025 01:47
128,13431,Other,Male,Laptop,Windows,Kids,Documentary,6.91,21,6,0,Ad-supported,WiFi,0,4,15-04-2025 22:27
129,6620,35-44,Male,Mobile,macOS,Live Sports,Drama,0.65,18,2,0,Ad-supported,4G,0,3,05-06-2025 12:55
130,19713,18-24,Male,Mobile,Linux,Kids,Romance,43.29,3,1,1,Ad-supported,Broadband,0,4,22-06-2025 15:15
131,13570,18-24,Female,Smart TV,macOS,TV Show,Thriller,18.16,7,2,0,Free,4G,1,3,06-04-2025 20:01
132,19896,18-24,Female,Tablet,iOS,TV Show,Thriller,18.68,3,3,1,Free,Broadband,1,,30-05-2025 05:38
133,16140,35-44,Male,Tablet,Linux,TV Show,Comedy,71.79,20,4,0,Free,4G,0,1,27-02-2025 12:57
134,16317,35-44,Female,Tablet,Windows,Kids,Romance,11.22,20,4,0,Free,5G,0,1,29-06-2025 04:45
135,5740,18-24,Male,Laptop,Windows,Movie,Documentary,17.96,9,1,0,Free,5G,0,5,19-05-2025 04:16
136,11369,25-34,Female,Tablet,iOS,News,Comedy,24.5,9,4,0,Free,4G,3,2,30-04-2025 21:19
137,11685,35-44,Male,Tablet,Linux,Kids,Drama,37.27,9,2,0,Free,5G,0,4,09-06-2025 19:06
138,19839,45-54,Male,Smart TV,iOS,TV Show,Thriller,78.45,13,1,1,Premium,WiFi,0,2,17-03-2025 15:05
139,6299,25-34,Male,Laptop,Windows,Kids,Romance,16.53,17,3,0,Ad-supported,WiFi,2,5,26-03-2025 02:36
140,5462,35-44,Male,Mobile,Linux,Movie,Thriller,4.14,18,2,1,Free,4G,0,4,10-03-2025 15:14
141,13465,25-34,Female,Mobile,Windows,Kids,Romance,4.29,12,1,1,Free,4G,0,1,24-06-2025 22:59
142,8455,35-44,Female,Tablet,Windows,News,Comedy,64.59,8,0,0,Ad-supported,WiFi,0,3,12-03-2025 19:43
143,11868,18-24,Female,Mobile,Windows,Kids,Sports,5.53,7,1,0,Ad-supported,4G,0,4,06-03-2025 21:38
144,2167,55+,Female,Smart TV,iOS,News,Thriller,59.26,18,0,0,Premium,5G,0,4,19-01-2025 02:16
145,16328,18-24,Female,Smart TV,Android,News,Drama,1.61,23,0,0,Free,4G,1,4,16-02-2025 18:05
146,4776,35-44,Female,Tablet,macOS,TV Show,Sports,79.57,8,5,0,Ad-supported,4G,0,4,15-04-2025 08:08
147,15945,18-24,Male,Smart TV,iOS,Movie,Comedy,42.29,6,3,1,Free,5G,1,4,18-04-2025 09:50
148,10441,18-24,Male,Tablet,macOS,News,Comedy,17.47,20,2,0,Free,4G,0,1,08-03-2025 21:47
149,1509,25-34,Male,Tablet,macOS,TV Show,Romance,42.44,9,3,0,Ad-supported,4G,0,5,19-03-2025 16:51
150,4490,35-44,Male,Laptop,Linux,Live Sports,Documentary,30,6,0,0,Free,4G,0,3,06-04-2025 05:26
151,6620,18-24,Female,Laptop,Android,News,Romance,14.25,6,1,0,Premium,WiFi,0,2,27-06-2025 14:30
152,8551,25-34,Female,Smart TV,Android,News,Comedy,18.86,23,2,1,Ad-supported,4G,2,4,07-04-2025 00:13
153,12076,35-44,Female,Tablet,Linux,Live Sports,Drama,29.27,18,2,0,Ad-supported,4G,1,2,08-06-2025 17:48
154,13279,25-34,Male,Mobile,macOS,News,Comedy,68.66,4,1,0,Free,4G,3,3,14-06-2025 09:46
155,18538,25-34,Male,Tablet,Android,Kids,Thriller,17.16,20,5,0,Ad-supported,Broadband,0,1,02-04-2025 00:43
156,19269,18-24,Female,Mobile,macOS,Movie,Drama,156.64,8,1,1,Free,Broadband,0,1,28-04-2025 22:04
157,7933,35-44,Male,Laptop,iOS,News,Romance,6.73,9,1,0,Premium,4G,0,3,20-02-2025 03:34
158,2255,25-34,Male,Laptop,macOS,News,Action,81.85,20,3,0,Free,Broadband,0,4,15-02-2025 16:48
159,8900,45-54,Other,Tablet,iOS,TV Show,Action,3.67,11,3,0,Free,WiFi,0,2,27-04-2025 17:16
160,3292,25-34,Male,Tablet,Android,Kids,Thriller,18.75,21,3,0,Free,WiFi,0,4,27-05-2025 20:04
161,6051,45-54,Male,Laptop,Windows,TV Show,Thriller,42.19,21,1,0,Premium,WiFi,0,5,03-06-2025 01:06
162,4428,55+,Female,Mobile,iOS,Kids,Thriller,36.21,6,2,0,Premium,4G,1,2,24-02-2025 07:44
163,18370,25-34,Male,Laptop,Android,News,Thriller,35,19,0,0,Free,4G,1,1,18-03-2025 19:45
164,1426,25-34,Male,Laptop,macOS,News,Sports,119.35,9,1,0,Ad-supported,WiFi,0,3,09-05-2025 02:35
165,925,18-24,Female,Laptop,macOS,News,Romance,4.74,1,1,0,Free,5G,1,4,05-05-2025 07:34
166,6823,45-54,Male,Laptop,Windows,Movie,Comedy,33.64,0,2,0,Free,4G,0,4,11-01-2025 09:14
167,4325,25-34,Female,Laptop,Android,TV Show,Thriller,8.8,14,1,0,Ad-supported,4G,0,4,27-04-2025 21:21
168,19411,35-44,Male,Mobile,Linux,Live Sports,Comedy,3.43,9,1,1,Free,Broadband,0,3,27-05-2025 03:15
169,3362,18-24,Female,Laptop,Android,Live Sports,Documentary,5.12,7,2,0,Premium,Broadband,0,5,27-02-2025 23:23
170,6036,55+,Female,Laptop,Windows,Kids,Documentary,4.62,7,0,0,Premium,Broadband,0,3,12-04-2025 18:09
171,1277,18-24,Female,Smart TV,Android,News,Romance,80.55,3,3,0,Ad-supported,4G,0,2,07-05-2025 17:46
172,16769,35-44,Male,Laptop,Windows,Movie,Drama,23.8,20,3,1,Ad-supported,WiFi,0,4,29-03-2025 15:45
173,6712,18-24,Male,Tablet,Android,Movie,Romance,85.8,0,2,0,Ad-supported,4G,0,4,22-02-2025 12:59
174,11006,45-54,Male,Mobile,Windows,Live Sports,Action,4.12,8,0,0,Premium,Broadband,1,3,13-02-2025 16:21
175,14835,18-24,Male,Tablet,iOS,News,Documentary,42.73,17,0,0,Free,WiFi,0,4,06-01-2025 22:00
176,18698,35-44,Female,Laptop,Linux,Live Sports,Documentary,2.35,19,3,1,Ad-supported,4G,0,1,05-05-2025 22:15
177,13171,25-34,Female,Laptop,macOS,Kids,Romance,16.09,22,2,0,Ad-supported,5G,0,5,09-04-2025 19:34
178,17023,18-24,Female,Mobile,Android,TV Show,Thriller,18.57,1,1,0,Free,Broadband,0,1,27-05-2025 06:00
179,9462,18-24,Female,Mobile,Android,Live Sports,Romance,3.78,4,1,1,Ad-supported,5G,1,5,14-03-2025 11:17
180,8961,18-24,Female,Tablet,Linux,Live Sports,Comedy,3.47,6,3,0,Free,5G,1,,08-01-2025 06:40
181,602,Other,Female,Smart TV,macOS,Movie,Sports,11.04,6,2,0,Premium,WiFi,1,4,02-01-2025 05:01
182,9363,35-44,Male,Mobile,macOS,Movie,Romance,25.56,10,5,0,Ad-supported,4G,1,4,31-05-2025 21:31
183,4622,45-54,Male,Smart TV,Windows,News,Sports,33.13,20,2,1,Free,Broadband,4,3,13-04-2025 01:54
184,16197,35-44,Female,Laptop,Linux,Kids,Comedy,19.92,21,0,0,Ad-supported,4G,0,4,31-05-2025 18:28
185,5964,18-24,Female,Laptop,Linux,TV Show,Comedy,75.16,16,2,1,Free,5G,0,3,01-03-2025 09:42
186,5608,45-54,Female,Smart TV,iOS,Movie,Thriller,70.81,19,2,1,Premium,WiFi,1,3,03-02-2025 04:48
187,5639,25-34,Female,Laptop,iOS,News,Documentary,3.18,7,4,1,Ad-supported,WiFi,1,5,11-05-2025 01:05
188,11345,55+,Female,Tablet,Linux,Live Sports,Thriller,11.65,9,1,0,Ad-supported,Broadband,0,5,01-01-2025 17:18
189,18328,35-44,Male,Laptop,Linux,Live Sports,Drama,23.08,13,4,0,Ad-supported,5G,0,4,31-05-2025 09:23
190,6093,45-54,Male,Mobile,Windows,TV Show,Comedy,3.35,6,1,0,Free,5G,0,3,10-01-2025 07:48
191,10805,25-34,Male,Laptop,Windows,Live Sports,Thriller,18.11,3,1,0,Free,4G,0,3,10-06-2025 04:50
192,16904,25-34,Male,Mobile,macOS,Live Sports,Action,54.23,8,2,0,Ad-supported,WiFi,1,1,13-05-2025 19:31
193,4746,18-24,Female,Mobile,Windows,Kids,Documentary,1.61,8,2,0,Free,WiFi,1,5,09-06-2025 00:01
194,3676,Other,Female,Smart TV,macOS,TV Show,Drama,15.53,21,1,1,Premium,5G,1,4,25-04-2025 21:23
195,10884,55+,Female,Tablet,Android,News,Sports,20.63,22,3,1,Ad-supported,4G,1,1,21-03-2025 10:02
196,14888,25-34,Female,Tablet,Linux,TV Show,Comedy,14.77,8,0,0,Free,4G,0,3,27-06-2025 20:53
197,4451,35-44,Female,Smart TV,macOS,News,Drama,115.48,19,2,1,Premium,5G,0,5,07-05-2025 19:14
198,3898,18-24,Male,Mobile,Linux,Kids,Drama,11.77,9,2,0,Free,4G,0,1,28-04-2025 13:19
199,1009,35-44,Female,Smart TV,iOS,Movie,Action,28.43,18,1,0,Free,5G,1,1,19-03-2025 13:25
200,10966,35-44,Male,Tablet,macOS,News,Documentary,8.68,20,2,1,Ad-supported,WiFi,1,4,26-03-2025 15:10
201,843,35-44,Female,Mobile,Linux,Live Sports,Documentary,23.23,9,4,0,Ad-supported,4G,1,3,12-03-2025 08:56
202,5561,25-34,Female,Tablet,Linux,Kids,Thriller,76.54,8,1,0,Free,Broadband,2,1,16-03-2025 05:10
203,11563,45-54,Female,Laptop,Android,Movie,Thriller,14.97,21,2,0,Ad-supported,5G,1,4,22-04-2025 14:44
204,1936,55+,Female,Mobile,Windows,Live Sports,Documentary,48.68,21,1,0,Premium,4G,1,2,24-02-2025 21:13
205,6298,35-44,Female,Laptop,macOS,Movie,Action,10,20,3,0,Ad-supported,4G,0,2,31-03-2025 11:25
206,4263,18-24,Male,Smart TV,Linux,TV Show,Romance,2.18,21,2,0,Premium,WiFi,0,3,13-01-2025 09:49
207,18638,18-24,Female,Laptop,Windows,Kids,Drama,7.32,7,0,0,Premium,4G,0,4,05-02-2025 10:57
208,7440,25-34,Female,Laptop,Linux,Movie,Thriller,4.84,6,1,0,Free,4G,0,3,29-06-2025 07:49
209,14365,18-24,Female,Tablet,macOS,Kids,Drama,3.34,7,1,0,Free,5G,0,3,28-01-2025 10:39
210,12970,25-34,Male,Mobile,Linux,TV Show,Sports,89.22,7,3,0,Free,Broadband,0,3,20-06-2025 10:32
211,13131,45-54,Male,Mobile,Windows,TV Show,Drama,1.85,5,1,1,Free,5G,1,4,16-02-2025 18:19
212,6335,25-34,Female,Tablet,iOS,Kids,Romance,33.52,17,3,0,Ad-supported,Broadband,0,1,22-01-2025 09:07
213,16284,35-44,Female,Laptop,Windows,News,Documentary,8.97,19,2,0,Free,4G,2,3,08-04-2025 05:24
214,4287,35-44,Female,Smart TV,Linux,Live Sports,Thriller,24.78,20,6,1,Ad-supported,WiFi,0,3,18-01-2025 04:30
215,10428,55+,Female,Smart TV,Linux,Movie,Drama,6.6,11,5,0,Ad-supported,5G,1,3,24-05-2025 17:12
216,15918,25-34,Male,Laptop,Android,Movie,Comedy,18.46,18,2,1,Free,4G,0,3,07-04-2025 19:25
217,12764,45-54,Male,Mobile,Linux,Movie,Drama,0,7,7,1,Ad-supported,4G,1,4,23-06-2025 03:52
218,13044,18-24,Male,Tablet,Android,TV Show,Comedy,8.56,18,1,0,Free,4G,1,4,04-04-2025 10:40
219,18313,18-24,Male,Tablet,Android,Movie,Action,2.05,21,1,1,Free,Broadband,0,,13-04-2025 03:48
220,14940,18-24,Male,Smart TV,iOS,Live Sports,Thriller,11.79,7,2,0,Ad-supported,5G,0,4,06-01-2025 21:31
